"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2015-07-09 17:20:32 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2014,Switzerland,"Lao People's Dem. Rep.",Asylum-seekers,
2014,Switzerland,Lebanon,Asylum-seekers,39
2014,Switzerland,Liberia,Asylum-seekers,27
2014,Switzerland,Libya,Asylum-seekers,137
2014,Switzerland,"Sri Lanka",Asylum-seekers,1540
2014,Switzerland,Lithuania,Asylum-seekers,*
2014,Switzerland,Latvia,Asylum-seekers,*
2014,Switzerland,Morocco,Asylum-seekers,166
2014,Switzerland,"Rep. of Moldova",Asylum-seekers,5
2014,Switzerland,Madagascar,Asylum-seekers,
2014,Switzerland,Mexico,Asylum-seekers,*
2014,Switzerland,"The former Yugoslav Republic of Macedonia",Asylum-seekers,88
2014,Switzerland,Mali,Asylum-seekers,101
2014,Switzerland,Myanmar,Asylum-seekers,7
2014,Switzerland,Montenegro,Asylum-seekers,14
2014,Switzerland,Mongolia,Asylum-seekers,59
2014,Switzerland,Mozambique,Asylum-seekers,*
2014,Switzerland,Mauritania,Asylum-seekers,23
2014,Switzerland,Mauritius,Asylum-seekers,
2014,Switzerland,Malawi,Asylum-seekers,*
2014,Switzerland,Malaysia,Asylum-seekers,*
2014,Switzerland,Niger,Asylum-seekers,7
2014,Switzerland,Nigeria,Asylum-seekers,281
2014,Switzerland,Nicaragua,Asylum-seekers,*
2014,Switzerland,Netherlands,Asylum-seekers,*
2014,Switzerland,Nepal,Asylum-seekers,25
2014,Switzerland,Pakistan,Asylum-seekers,165
2014,Switzerland,Peru,Asylum-seekers,*
2014,Switzerland,Philippines,Asylum-seekers,
2014,Switzerland,Poland,Asylum-seekers,*
2014,Switzerland,"Dem. People's Rep. of Korea",Asylum-seekers,*
2014,Switzerland,Portugal,Asylum-seekers,*
2014,Switzerland,Paraguay,Asylum-seekers,
2014,Switzerland,Palestinian,Asylum-seekers,*
2014,Switzerland,Romania,Asylum-seekers,*
2014,Switzerland,"Russian Federation",Asylum-seekers,204
2014,Switzerland,Rwanda,Asylum-seekers,10
2014,Switzerland,"Saudi Arabia",Asylum-seekers,*
2014,Switzerland,Sudan,Asylum-seekers,103
2014,Switzerland,Senegal,Asylum-seekers,65
2014,Switzerland,"Sierra Leone",Asylum-seekers,29
2014,Switzerland,Somalia,Asylum-seekers,702
2014,Switzerland,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,667
2014,Switzerland,"South Sudan",Asylum-seekers,15
2014,Switzerland,"Sao Tome and Principe",Asylum-seekers,*
2014,Switzerland,Slovakia,Asylum-seekers,*
2014,Switzerland,Swaziland,Asylum-seekers,*
2014,Switzerland,"Syrian Arab Rep.",Asylum-seekers,3501
2014,Switzerland,Chad,Asylum-seekers,18
2014,Switzerland,Togo,Asylum-seekers,52
2014,Switzerland,Tajikistan,Asylum-seekers,*
2014,Switzerland,Turkmenistan,Asylum-seekers,*
2014,Switzerland,Tunisia,Asylum-seekers,153
2014,Switzerland,Turkey,Asylum-seekers,597
2014,Switzerland,"United Rep. of Tanzania",Asylum-seekers,10
2014,Switzerland,Uganda,Asylum-seekers,23
2014,Switzerland,Ukraine,Asylum-seekers,132
2014,Switzerland,"United States of America",Asylum-seekers,*
2014,Switzerland,Uzbekistan,Asylum-seekers,9
2014,Switzerland,"Venezuela (Bolivarian Republic of)",Asylum-seekers,*
2014,Switzerland,"Viet Nam",Asylum-seekers,9
2014,Switzerland,Samoa,Asylum-seekers,*
2014,Switzerland,Stateless,Asylum-seekers,49
2014,Switzerland,Various/Unknown,Asylum-seekers,575
2014,Switzerland,Yemen,Asylum-seekers,74
2014,Switzerland,"South Africa",Asylum-seekers,*
2014,Switzerland,Zambia,Asylum-seekers,*
2014,Switzerland,Zimbabwe,Asylum-seekers,5
2014,Chile,Afghanistan,Asylum-seekers,
2014,Chile,Albania,Asylum-seekers,*
2014,Chile,Argentina,Asylum-seekers,*
2014,Chile,"Bolivia (Plurinational State of)",Asylum-seekers,9
2014,Chile,Brazil,Asylum-seekers,*
2014,Chile,Cameroon,Asylum-seekers,
2014,Chile,"Dem. Rep. of the Congo",Asylum-seekers,9
2014,Chile,Congo,Asylum-seekers,*
2014,Chile,Colombia,Asylum-seekers,469
2014,Chile,"Costa Rica",Asylum-seekers,
2014,Chile,Cuba,Asylum-seekers,20
2014,Chile,"Dominican Rep.",Asylum-seekers,*
2014,Chile,Ecuador,Asylum-seekers,*
2014,Chile,Egypt,Asylum-seekers,*
2014,Chile,Ghana,Asylum-seekers,5
2014,Chile,Honduras,Asylum-seekers,*
2014,Chile,Haiti,Asylum-seekers,
2014,Chile,"Iran (Islamic Rep. of)",Asylum-seekers,*
2014,Chile,Iraq,Asylum-seekers,
2014,Chile,Israel,Asylum-seekers,*
2014,Chile,Kenya,Asylum-seekers,
2014,Chile,"Sri Lanka",Asylum-seekers,
2014,Chile,Mexico,Asylum-seekers,*
2014,Chile,Nigeria,Asylum-seekers,
2014,Chile,Peru,Asylum-seekers,*
2014,Chile,Palestinian,Asylum-seekers,*
2014,Chile,"Russian Federation",Asylum-seekers,7
2014,Chile,Senegal,Asylum-seekers,6
2014,Chile,"El Salvador",Asylum-seekers,*
2014,Chile,Somalia,Asylum-seekers,
2014,Chile,"Syrian Arab Rep.",Asylum-seekers,10
2014,Chile,Togo,Asylum-seekers,*
2014,Chile,Ukraine,Asylum-seekers,6
2014,Chile,"Venezuela (Bolivarian Republic of)",Asylum-seekers,*
2014,Chile,Various/Unknown,Asylum-seekers,
2014,China,Afghanistan,Asylum-seekers,
2014,China,Angola,Asylum-seekers,*
2014,China,Burundi,Asylum-seekers,*
2014,China,Benin,Asylum-seekers,*
2014,China,"Burkina Faso",Asylum-seekers,*
2014,China,"Central African Rep.",Asylum-seekers,*
2014,China,"Côte d'Ivoire",Asylum-seekers,12
2014,China,Cameroon,Asylum-seekers,23
2014,China,"Dem. Rep. of the Congo",Asylum-seekers,*
2014,China,Congo,Asylum-seekers,7
2014,China,Egypt,Asylum-seekers,*
2014,China,Eritrea,Asylum-seekers,*
2014,China,Ghana,Asylum-seekers,13
2014,China,Guinea,Asylum-seekers,32
2014,China,Gambia,Asylum-seekers,9
2014,China,Guinea-Bissau,Asylum-seekers,*
2014,China,Iraq,Asylum-seekers,7
2014,China,Kenya,Asylum-seekers,*
2014,China,Liberia,Asylum-seekers,37
2014,China,Mali,Asylum-seekers,9
2014,China,Mozambique,Asylum-seekers,*
2014,China,Niger,Asylum-seekers,8
2014,China,Nigeria,Asylum-seekers,119
2014,China,Pakistan,Asylum-seekers,24
2014,China,Philippines,Asylum-seekers,*
2014,China,Palestinian,Asylum-seekers,*
2014,China,"Russian Federation",Asylum-seekers,*
2014,China,Rwanda,Asylum-seekers,10
2014,China,"Saudi Arabia",Asylum-seekers,*
2014,China,"Sierra Leone",Asylum-seekers,26
2014,China,Somalia,Asylum-seekers,76
2014,China,Swaziland,Asylum-seekers,*
2014,China,"Syrian Arab Rep.",Asylum-seekers,*
2014,China,Togo,Asylum-seekers,*
2014,China,"United Rep. of Tanzania",Asylum-seekers,*
2014,China,Uganda,Asylum-seekers,18
2014,China,"Viet Nam",Asylum-seekers,
2014,China,Yemen,Asylum-seekers,*
2014,China,Zimbabwe,Asylum-seekers,7
2014,"Côte d'Ivoire",Afghanistan,Asylum-seekers,*
2014,"Côte d'Ivoire",Angola,Asylum-seekers,
2014,"Côte d'Ivoire",Burundi,Asylum-seekers,
2014,"Côte d'Ivoire",Burundi,Asylum-seekers,
2014,"Côte d'Ivoire",Benin,Asylum-seekers,*
2014,"Côte d'Ivoire","Burkina Faso",Asylum-seekers,
2014,"Côte d'Ivoire","Burkina Faso",Asylum-seekers,*
2014,"Côte d'Ivoire","Central African Rep.",Asylum-seekers,104
2014,"Côte d'Ivoire","Côte d'Ivoire",Asylum-seekers,
2014,"Côte d'Ivoire","Côte d'Ivoire",Asylum-seekers,
2014,"Côte d'Ivoire",Cameroon,Asylum-seekers,11
2014,"Côte d'Ivoire","Dem. Rep. of the Congo",Asylum-seekers,
2014,"Côte d'Ivoire","Dem. Rep. of the Congo",Asylum-seekers,63
2014,"Côte d'Ivoire",Congo,Asylum-seekers,18
2014,"Côte d'Ivoire",Congo,Asylum-seekers,
2014,"Côte d'Ivoire",Eritrea,Asylum-seekers,
2014,"Côte d'Ivoire",Ethiopia,Asylum-seekers,*
2014,"Côte d'Ivoire",France,Asylum-seekers,*
2014,"Côte d'Ivoire",Gabon,Asylum-seekers,*
2014,"Côte d'Ivoire",Ghana,Asylum-seekers,
2014,"Côte d'Ivoire",Ghana,Asylum-seekers,9
2014,"Côte d'Ivoire",Guinea,Asylum-seekers,12
2014,"Côte d'Ivoire","Iran (Islamic Rep. of)",Asylum-seekers,
2014,"Côte d'Ivoire",Cambodia,Asylum-seekers,
2014,"Côte d'Ivoire",Lebanon,Asylum-seekers,
2014,"Côte d'Ivoire",Liberia,Asylum-seekers,258
2014,"Côte d'Ivoire",Liberia,Asylum-seekers,
2014,"Côte d'Ivoire","Sri Lanka",Asylum-seekers,*
2014,"Côte d'Ivoire",Mali,Asylum-seekers,11
2014,"Côte d'Ivoire",Mauritania,Asylum-seekers,*
2014,"Côte d'Ivoire",Niger,Asylum-seekers,*
2014,"Côte d'Ivoire",Nigeria,Asylum-seekers,
2014,"Côte d'Ivoire",Nigeria,Asylum-seekers,86
2014,"Côte d'Ivoire",Pakistan,Asylum-seekers,
2014,"Côte d'Ivoire",Palestinian,Asylum-seekers,*
2014,"Côte d'Ivoire",Rwanda,Asylum-seekers,15
2014,"Côte d'Ivoire",Sudan,Asylum-seekers,*
2014,"Côte d'Ivoire",Senegal,Asylum-seekers,*
2014,"Côte d'Ivoire","Sierra Leone",Asylum-seekers,9
2014,"Côte d'Ivoire","Syrian Arab Rep.",Asylum-seekers,16
2014,"Côte d'Ivoire",Chad,Asylum-seekers,7
2014,"Côte d'Ivoire",Togo,Asylum-seekers,26
2014,"Côte d'Ivoire",Uganda,Asylum-seekers,*
2014,"Côte d'Ivoire","Viet Nam",Asylum-seekers,*
2014,Cameroon,Angola,Asylum-seekers,*
2014,Cameroon,Burundi,Asylum-seekers,*
2014,Cameroon,Benin,Asylum-seekers,*
2014,Cameroon,"Burkina Faso",Asylum-seekers,8
2014,Cameroon,"Central African Rep.",Asylum-seekers,9404
2014,Cameroon,"Côte d'Ivoire",Asylum-seekers,270
2014,Cameroon,"Dem. Rep. of the Congo",Asylum-seekers,412
2014,Cameroon,Congo,Asylum-seekers,14
2014,Cameroon,Algeria,Asylum-seekers,
2014,Cameroon,Eritrea,Asylum-seekers,*
2014,Cameroon,Ethiopia,Asylum-seekers,*
2014,Cameroon,France,Asylum-seekers,*
2014,Cameroon,Gabon,Asylum-seekers,*
2014,Cameroon,Ghana,Asylum-seekers,
2014,Cameroon,Guinea,Asylum-seekers,430
2014,Cameroon,Gambia,Asylum-seekers,12
2014,Cameroon,Guinea-Bissau,Asylum-seekers,55
2014,Cameroon,"Equatorial Guinea",Asylum-seekers,7
2014,Cameroon,"Iran (Islamic Rep. of)",Asylum-seekers,*
2014,Cameroon,Kenya,Asylum-seekers,*
2014,Cameroon,Cambodia,Asylum-seekers,
2014,Cameroon,Lebanon,Asylum-seekers,*
2014,Cameroon,Liberia,Asylum-seekers,10
2014,Cameroon,Morocco,Asylum-seekers,
2014,Cameroon,Mali,Asylum-seekers,52
2014,Cameroon,Mauritania,Asylum-seekers,7
2014,Cameroon,Mauritius,Asylum-seekers,*
2014,Cameroon,Niger,Asylum-seekers,*
2014,Cameroon,Nigeria,Asylum-seekers,41
2014,Cameroon,Rwanda,Asylum-seekers,220
2014,Cameroon,Sudan,Asylum-seekers,126
2014,Cameroon,Senegal,Asylum-seekers,105
2014,Cameroon,"Sierra Leone",Asylum-seekers,17
2014,Cameroon,"South Sudan",Asylum-seekers,6
2014,Cameroon,Swaziland,Asylum-seekers,
2014,Cameroon,"Syrian Arab Rep.",Asylum-seekers,11
2014,Cameroon,Chad,Asylum-seekers,529
2014,Cameroon,Togo,Asylum-seekers,*
2014,Cameroon,Uganda,Asylum-seekers,*
2014,Cameroon,"South Africa",Asylum-seekers,*
2014,"Dem. Rep. of the Congo",Angola,Asylum-seekers,5
2014,"Dem. Rep. of the Congo",Angola,Asylum-seekers,
2014,"Dem. Rep. of the Congo",Burundi,Asylum-seekers,542
2014,"Dem. Rep. of the Congo",Benin,Asylum-seekers,*
2014,"Dem. Rep. of the Congo","Central African Rep.",Asylum-seekers,66
2014,"Dem. Rep. of the Congo","Côte d'Ivoire",Asylum-seekers,12
2014,"Dem. Rep. of the Congo",Cameroon,Asylum-seekers,38
2014,"Dem. Rep. of the Congo","Dem. Rep. of the Congo",Asylum-seekers,
2014,"Dem. Rep. of the Congo",Congo,Asylum-seekers,14
2014,"Dem. Rep. of the Congo",Eritrea,Asylum-seekers,*
2014,"Dem. Rep. of the Congo",Ethiopia,Asylum-seekers,
2014,"Dem. Rep. of the Congo",Guinea,Asylum-seekers,14
2014,"Dem. Rep. of the Congo",Liberia,Asylum-seekers,7
2014,"Dem. Rep. of the Congo",Mali,Asylum-seekers,10
2014,"Dem. Rep. of the Congo",Nigeria,Asylum-seekers,10
2014,"Dem. Rep. of the Congo",Rwanda,Asylum-seekers,320
2014,"Dem. Rep. of the Congo",Senegal,Asylum-seekers,*
2014,"Dem. Rep. of the Congo","Sierra Leone",Asylum-seekers,
2014,"Dem. Rep. of the Congo",Somalia,Asylum-seekers,88
2014,"Dem. Rep. of the Congo","South Sudan",Asylum-seekers,*
2014,"Dem. Rep. of the Congo","Syrian Arab Rep.",Asylum-seekers,*
2014,"Dem. Rep. of the Congo",Chad,Asylum-seekers,34
2014,"Dem. Rep. of the Congo",Togo,Asylum-seekers,*
2014,"Dem. Rep. of the Congo","United Rep. of Tanzania",Asylum-seekers,7
2014,"Dem. Rep. of the Congo",Uganda,Asylum-seekers,*
2014,Congo,Angola,Asylum-seekers,
2014,Congo,Angola,Asylum-seekers,89
2014,Congo,Burundi,Asylum-seekers,17
2014,Congo,Burundi,Asylum-seekers,
2014,Congo,"Burkina Faso",Asylum-seekers,*
2014,Congo,"Central African Rep.",Asylum-seekers,
2014,Congo,"Central African Rep.",Asylum-seekers,95
2014,Congo,"Côte d'Ivoire",Asylum-seekers,66
2014,Congo,"Côte d'Ivoire",Asylum-seekers,
2014,Congo,Cameroon,Asylum-seekers,
2014,Congo,Cameroon,Asylum-seekers,*
2014,Congo,"Dem. Rep. of the Congo",Asylum-seekers,2380
2014,Congo,"Dem. Rep. of the Congo",Asylum-seekers,
2014,Congo,Congo,Asylum-seekers,
2014,Congo,Ethiopia,Asylum-seekers,*
2014,Congo,Guinea,Asylum-seekers,9
2014,Congo,"Iran (Islamic Rep. of)",Asylum-seekers,
2014,Congo,Liberia,Asylum-seekers,5
2014,Congo,Mali,Asylum-seekers,*
2014,Congo,Mauritania,Asylum-seekers,55
2014,Congo,Mauritania,Asylum-seekers,
2014,Congo,Nigeria,Asylum-seekers,
2014,Congo,Nigeria,Asylum-seekers,
2014,Congo,Rwanda,Asylum-seekers,315
2014,Congo,Rwanda,Asylum-seekers,
2014,Congo,Sudan,Asylum-seekers,18
2014,Congo,Senegal,Asylum-seekers,*
2014,Congo,"Sierra Leone",Asylum-seekers,6
2014,Congo,Chad,Asylum-seekers,
2014,Congo,Chad,Asylum-seekers,137
2014,Congo,Togo,Asylum-seekers,*
2014,Congo,Uganda,Asylum-seekers,
2014,Colombia,Afghanistan,Asylum-seekers,*
2014,Colombia,Angola,Asylum-seekers,*
2014,Colombia,Benin,Asylum-seekers,
2014,Colombia,Bangladesh,Asylum-seekers,*
2014,Colombia,"Bolivia (Plurinational State of)",Asylum-seekers,*
2014,Colombia,Brazil,Asylum-seekers,*
2014,Colombia,Bhutan,Asylum-seekers,*
2014,Colombia,China,Asylum-seekers,
2014,Colombia,Congo,Asylum-seekers,
2014,Colombia,Colombia,Asylum-seekers,
2014,Colombia,Cuba,Asylum-seekers,84
2014,Colombia,Ecuador,Asylum-seekers,*
2014,Colombia,Eritrea,Asylum-seekers,7
2014,Colombia,Ethiopia,Asylum-seekers,*
2014,Colombia,Ghana,Asylum-seekers,*
2014,Colombia,Honduras,Asylum-seekers,*
2014,Colombia,Haiti,Asylum-seekers,*
2014,Colombia,Hungary,Asylum-seekers,
2014,Colombia,India,Asylum-seekers,*
2014,Colombia,"Iran (Islamic Rep. of)",Asylum-seekers,
2014,Colombia,Iraq,Asylum-seekers,
2014,Colombia,Liberia,Asylum-seekers,
2014,Colombia,"Sri Lanka",Asylum-seekers,*
2014,Colombia,Mali,Asylum-seekers,*
2014,Colombia,Mauritania,Asylum-seekers,
2014,Colombia,Nigeria,Asylum-seekers,*
2014,Colombia,Nicaragua,Asylum-seekers,*
2014,Colombia,Nepal,Asylum-seekers,10
2014,Colombia,Pakistan,Asylum-seekers,10
2014,Colombia,Peru,Asylum-seekers,
2014,Colombia,Paraguay,Asylum-seekers,*
2014,Colombia,Palestinian,Asylum-seekers,
2014,Colombia,Romania,Asylum-seekers,
2014,Colombia,"Russian Federation",Asylum-seekers,*
2014,Colombia,Rwanda,Asylum-seekers,*
2014,Colombia,Sudan,Asylum-seekers,*
2014,Colombia,"Sierra Leone",Asylum-seekers,*
2014,Colombia,"El Salvador",Asylum-seekers,
2014,Colombia,Somalia,Asylum-seekers,*
2014,Colombia,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,
2014,Colombia,"Syrian Arab Rep.",Asylum-seekers,*
2014,Colombia,Tibetan,Asylum-seekers,*
2014,Colombia,Turkey,Asylum-seekers,
2014,Colombia,"United States of America",Asylum-seekers,*
2014,Colombia,"Venezuela (Bolivarian Republic of)",Asylum-seekers,41
2014,Colombia,Stateless,Asylum-seekers,*
2014,"Cabo Verde","Cabo Verde",Asylum-seekers,
2014,"Costa Rica",Afghanistan,Asylum-seekers,
2014,"Costa Rica",Angola,Asylum-seekers,
2014,"Costa Rica",Argentina,Asylum-seekers,*
2014,"Costa Rica",Armenia,Asylum-seekers,*
2014,"Costa Rica",Bangladesh,Asylum-seekers,5
2014,"Costa Rica",Bulgaria,Asylum-seekers,
2014,"Costa Rica",Belarus,Asylum-seekers,
2014,"Costa Rica","Bolivia (Plurinational State of)",Asylum-seekers,
2014,"Costa Rica",Brazil,Asylum-seekers,*
2014,"Costa Rica",Chile,Asylum-seekers,*
2014,"Costa Rica",China,Asylum-seekers,
2014,"Costa Rica","Côte d'Ivoire",Asylum-seekers,
2014,"Costa Rica",Cameroon,Asylum-seekers,7
2014,"Costa Rica","Dem. Rep. of the Congo",Asylum-seekers,
2014,"Costa Rica",Congo,Asylum-seekers,*
2014,"Costa Rica",Colombia,Asylum-seekers,208
2014,"Costa Rica","Costa Rica",Asylum-seekers,
2014,"Costa Rica",Cuba,Asylum-seekers,104
2014,"Costa Rica",Cyprus,Asylum-seekers,
2014,"Costa Rica","Czech Rep.",Asylum-seekers,*
2014,"Costa Rica",Germany,Asylum-seekers,
2014,"Costa Rica","Dominican Rep.",Asylum-seekers,5
2014,"Costa Rica",Ecuador,Asylum-seekers,*
2014,"Costa Rica",Egypt,Asylum-seekers,*
2014,"Costa Rica",Eritrea,Asylum-seekers,*
2014,"Costa Rica",Spain,Asylum-seekers,*
2014,"Costa Rica",Ethiopia,Asylum-seekers,*
2014,"Costa Rica",France,Asylum-seekers,*
2014,"Costa Rica","United Kingdom",Asylum-seekers,*
2014,"Costa Rica",Georgia,Asylum-seekers,
2014,"Costa Rica",Ghana,Asylum-seekers,13
2014,"Costa Rica",Guinea,Asylum-seekers,*
2014,"Costa Rica",Gambia,Asylum-seekers,*
2014,"Costa Rica",Guatemala,Asylum-seekers,10
2014,"Costa Rica",Honduras,Asylum-seekers,100
2014,"Costa Rica",Haiti,Asylum-seekers,9
2014,"Costa Rica",Hungary,Asylum-seekers,*
2014,"Costa Rica",India,Asylum-seekers,
2014,"Costa Rica","Iran (Islamic Rep. of)",Asylum-seekers,5
2014,"Costa Rica",Israel,Asylum-seekers,5
2014,"Costa Rica",Italy,Asylum-seekers,*
2014,"Costa Rica",Jamaica,Asylum-seekers,*
2014,"Costa Rica","Rep. of Korea",Asylum-seekers,*
2014,"Costa Rica",Lebanon,Asylum-seekers,*
2014,"Costa Rica",Liberia,Asylum-seekers,
2014,"Costa Rica","Sri Lanka",Asylum-seekers,*
2014,"Costa Rica","Rep. of Moldova",Asylum-seekers,
2014,"Costa Rica",Mexico,Asylum-seekers,5
2014,"Costa Rica",Nigeria,Asylum-seekers,8
2014,"Costa Rica",Nicaragua,Asylum-seekers,6
2014,"Costa Rica",Nepal,Asylum-seekers,*
2014,"Costa Rica",Pakistan,Asylum-seekers,*
2014,"Costa Rica",Panama,Asylum-seekers,*
2014,"Costa Rica",Peru,Asylum-seekers,*
2014,"Costa Rica","Papua New Guinea",Asylum-seekers,*
2014,"Costa Rica",Romania,Asylum-seekers,*
2014,"Costa Rica","Russian Federation",Asylum-seekers,*
2014,"Costa Rica",Sudan,Asylum-seekers,
2014,"Costa Rica","Sierra Leone",Asylum-seekers,*
2014,"Costa Rica","El Salvador",Asylum-seekers,256
2014,"Costa Rica",Somalia,Asylum-seekers,6
2014,"Costa Rica",Slovenia,Asylum-seekers,*
2014,"Costa Rica","Syrian Arab Rep.",Asylum-seekers,*
2014,"Costa Rica",Turkey,Asylum-seekers,*
2014,"Costa Rica",Uganda,Asylum-seekers,
2014,"Costa Rica",Ukraine,Asylum-seekers,5
2014,"Costa Rica",Uruguay,Asylum-seekers,*
2014,"Costa Rica","United States of America",Asylum-seekers,*
2014,"Costa Rica",Uzbekistan,Asylum-seekers,
2014,"Costa Rica","Venezuela (Bolivarian Republic of)",Asylum-seekers,70
2014,"Costa Rica",Various/Unknown,Asylum-seekers,909
2014,"Costa Rica","South Africa",Asylum-seekers,
2014,"Costa Rica",Zimbabwe,Asylum-seekers,*
2014,Cuba,Afghanistan,Asylum-seekers,6
2014,Cuba,Djibouti,Asylum-seekers,*
2014,Cuba,"Western Sahara",Asylum-seekers,
2014,Cuba,Ethiopia,Asylum-seekers,
2014,Cuba,Haiti,Asylum-seekers,
2014,Cuba,"Iran (Islamic Rep. of)",Asylum-seekers,*
2014,Cuba,Palestinian,Asylum-seekers,*
2014,Cuba,Somalia,Asylum-seekers,*
2014,Cuba,"Syrian Arab Rep.",Asylum-seekers,*
2014,Cuba,Yemen,Asylum-seekers,
2014,Curaçao,Colombia,Asylum-seekers,13
2014,Curaçao,Cuba,Asylum-seekers,27
2014,Curaçao,Jamaica,Asylum-seekers,
2014,Curaçao,"Syrian Arab Rep.",Asylum-seekers,
2014,Curaçao,"Venezuela (Bolivarian Republic of)",Asylum-seekers,*
2014,"Cayman Islands",Afghanistan,Asylum-seekers,
2014,"Cayman Islands",Cuba,Asylum-seekers,*
2014,"Cayman Islands",Cuba,Asylum-seekers,
2014,"Cayman Islands",Mexico,Asylum-seekers,
2014,Cyprus,Afghanistan,Asylum-seekers,12
2014,Cyprus,Angola,Asylum-seekers,*
2014,Cyprus,Albania,Asylum-seekers,*
2014,Cyprus,Armenia,Asylum-seekers,11
2014,Cyprus,"Burkina Faso",Asylum-seekers,*
2014,Cyprus,Bangladesh,Asylum-seekers,35
2014,Cyprus,"Bosnia and Herzegovina",Asylum-seekers,
2014,Cyprus,Belarus,Asylum-seekers,*
2014,Cyprus,"Central African Rep.",Asylum-seekers,*
2014,Cyprus,China,Asylum-seekers,*
2014,Cyprus,"Côte d'Ivoire",Asylum-seekers,12
2014,Cyprus,Cameroon,Asylum-seekers,28
2014,Cyprus,"Dem. Rep. of the Congo",Asylum-seekers,13
2014,Cyprus,Congo,Asylum-seekers,*
2014,Cyprus,Comoros,Asylum-seekers,8
2014,Cyprus,Cuba,Asylum-seekers,*
2014,Cyprus,Algeria,Asylum-seekers,*
2014,Cyprus,Egypt,Asylum-seekers,220
2014,Cyprus,Eritrea,Asylum-seekers,*
2014,Cyprus,Ethiopia,Asylum-seekers,5
2014,Cyprus,Georgia,Asylum-seekers,6
2014,Cyprus,Ghana,Asylum-seekers,*
2014,Cyprus,Guinea,Asylum-seekers,6
2014,Cyprus,Gambia,Asylum-seekers,*
2014,Cyprus,Croatia,Asylum-seekers,
2014,Cyprus,Indonesia,Asylum-seekers,*
2014,Cyprus,India,Asylum-seekers,39
2014,Cyprus,"Iran (Islamic Rep. of)",Asylum-seekers,64
2014,Cyprus,Iraq,Asylum-seekers,393
2014,Cyprus,Israel,Asylum-seekers,*
2014,Cyprus,Jordan,Asylum-seekers,29
2014,Cyprus,Kazakhstan,Asylum-seekers,*
2014,Cyprus,Kyrgyzstan,Asylum-seekers,
2014,Cyprus,Lebanon,Asylum-seekers,13
2014,Cyprus,Liberia,Asylum-seekers,*
2014,Cyprus,Libya,Asylum-seekers,*
2014,Cyprus,"Sri Lanka",Asylum-seekers,53
2014,Cyprus,Morocco,Asylum-seekers,*
2014,Cyprus,"Rep. of Moldova",Asylum-seekers,*
2014,Cyprus,"The former Yugoslav Republic of Macedonia",Asylum-seekers,
2014,Cyprus,Mali,Asylum-seekers,6
2014,Cyprus,Mongolia,Asylum-seekers,*
2014,Cyprus,Nigeria,Asylum-seekers,18
2014,Cyprus,Nepal,Asylum-seekers,*
2014,Cyprus,Pakistan,Asylum-seekers,25
2014,Cyprus,Philippines,Asylum-seekers,22
2014,Cyprus,Palestinian,Asylum-seekers,51
2014,Cyprus,"Russian Federation",Asylum-seekers,23
2014,Cyprus,Rwanda,Asylum-seekers,*
2014,Cyprus,Sudan,Asylum-seekers,5
2014,Cyprus,Senegal,Asylum-seekers,*
2014,Cyprus,"Sierra Leone",Asylum-seekers,*
2014,Cyprus,Somalia,Asylum-seekers,34
2014,Cyprus,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,*
2014,Cyprus,"Syrian Arab Rep.",Asylum-seekers,1109
2014,Cyprus,Togo,Asylum-seekers,8
2014,Cyprus,Tajikistan,Asylum-seekers,
2014,Cyprus,Turkmenistan,Asylum-seekers,*
2014,Cyprus,Tunisia,Asylum-seekers,*
2014,Cyprus,Turkey,Asylum-seekers,43
2014,Cyprus,Ukraine,Asylum-seekers,89
2014,Cyprus,Uzbekistan,Asylum-seekers,
2014,Cyprus,"Viet Nam",Asylum-seekers,43
2014,Cyprus,Stateless,Asylum-seekers,*
2014,Cyprus,Yemen,Asylum-seekers,*
2014,Cyprus,Zimbabwe,Asylum-seekers,*
2014,"Czech Rep.",Afghanistan,Asylum-seekers,7
2014,"Czech Rep.",Angola,Asylum-seekers,
2014,"Czech Rep.",Albania,Asylum-seekers,*
2014,"Czech Rep.",Armenia,Asylum-seekers,19
2014,"Czech Rep.",Azerbaijan,Asylum-seekers,*
2014,"Czech Rep.",Burundi,Asylum-seekers,
2014,"Czech Rep.","Burkina Faso",Asylum-seekers,*
2014,"Czech Rep.",Bangladesh,Asylum-seekers,*
2014,"Czech Rep.",Bulgaria,Asylum-seekers,*
2014,"Czech Rep.","Bosnia and Herzegovina",Asylum-seekers,*
2014,"Czech Rep.",Belarus,Asylum-seekers,9
2014,"Czech Rep.",China,Asylum-seekers,*
2014,"Czech Rep.","Côte d'Ivoire",Asylum-seekers,*
2014,"Czech Rep.",Cameroon,Asylum-seekers,*
2014,"Czech Rep.","Dem. Rep. of the Congo",Asylum-seekers,7
2014,"Czech Rep.",Congo,Asylum-seekers,*
2014,"Czech Rep.",Cuba,Asylum-seekers,15
2014,"Czech Rep.","Czech Rep.",Asylum-seekers,
2014,"Czech Rep.",Djibouti,Asylum-seekers,
2014,"Czech Rep.","Dominican Rep.",Asylum-seekers,*
