Country / territory of asylum/residence,Origin,Population type,Value
Chile,Colombia,Asylum-seekers,469
Chile,Colombia,Refugees (incl. refugee-like situations),996
Chile,Costa Rica,Asylum-seekers,
Chile,Costa Rica,Refugees (incl. refugee-like situations),*
Chile,Cuba,Asylum-seekers,20
Chile,Cuba,Refugees (incl. refugee-like situations),18
Chile,Dominican Rep.,Asylum-seekers,*
Chile,Dominican Rep.,Refugees (incl. refugee-like situations),
Chile,Ecuador,Asylum-seekers,*
Chile,Ecuador,Refugees (incl. refugee-like situations),18
Chile,Egypt,Asylum-seekers,*
Chile,Egypt,Refugees (incl. refugee-like situations),
Chile,Ghana,Asylum-seekers,5
Chile,Ghana,Refugees (incl. refugee-like situations),
Chile,Honduras,Asylum-seekers,*
Chile,Honduras,Refugees (incl. refugee-like situations),
Chile,Haiti,Asylum-seekers,
Chile,Haiti,Refugees (incl. refugee-like situations),*
Chile,Iran (Islamic Rep. of),Asylum-seekers,*
Chile,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),
Chile,Iraq,Asylum-seekers,
Chile,Iraq,Refugees (incl. refugee-like situations),*
Chile,Israel,Asylum-seekers,*
Chile,Israel,Refugees (incl. refugee-like situations),*
Chile,Kenya,Asylum-seekers,
Chile,Kenya,Refugees (incl. refugee-like situations),*
Chile,Sri Lanka,Asylum-seekers,
Chile,Sri Lanka,Refugees (incl. refugee-like situations),6
Chile,Mexico,Asylum-seekers,*
Chile,Mexico,Refugees (incl. refugee-like situations),
Chile,Nigeria,Asylum-seekers,
Chile,Nigeria,Refugees (incl. refugee-like situations),*
Chile,Peru,Asylum-seekers,*
Chile,Peru,Refugees (incl. refugee-like situations),118
Chile,Palestinian,Asylum-seekers,*
Chile,Palestinian,Refugees (incl. refugee-like situations),119
Chile,Russian Federation,Asylum-seekers,7
Chile,Russian Federation,Refugees (incl. refugee-like situations),*
Chile,Senegal,Asylum-seekers,6
Chile,Senegal,Refugees (incl. refugee-like situations),
Chile,El Salvador,Asylum-seekers,*
Chile,El Salvador,Refugees (incl. refugee-like situations),*
Chile,Somalia,Asylum-seekers,
Chile,Somalia,Refugees (incl. refugee-like situations),*
Chile,Syrian Arab Rep.,Asylum-seekers,10
Chile,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
Chile,Togo,Asylum-seekers,*
Chile,Togo,Refugees (incl. refugee-like situations),
Chile,Ukraine,Asylum-seekers,6
Chile,Ukraine,Refugees (incl. refugee-like situations),*
Chile,Venezuela (Bolivarian Republic of),Asylum-seekers,*
Chile,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),
Chile,Various/Unknown,Asylum-seekers,
Chile,Various/Unknown,Refugees (incl. refugee-like situations),441
China,Afghanistan,Asylum-seekers,
China,Afghanistan,Refugees (incl. refugee-like situations),7
China,Angola,Asylum-seekers,*
China,Angola,Refugees (incl. refugee-like situations),
China,Burundi,Asylum-seekers,*
China,Burundi,Refugees (incl. refugee-like situations),
China,Benin,Asylum-seekers,*
China,Benin,Refugees (incl. refugee-like situations),
China,Burkina Faso,Asylum-seekers,*
China,Burkina Faso,Refugees (incl. refugee-like situations),
China,Central African Rep.,Asylum-seekers,*
China,Central African Rep.,Refugees (incl. refugee-like situations),
China,Côte d'Ivoire,Asylum-seekers,12
China,Côte d'Ivoire,Refugees (incl. refugee-like situations),
China,Cameroon,Asylum-seekers,23
China,Cameroon,Refugees (incl. refugee-like situations),
China,Dem. Rep. of the Congo,Asylum-seekers,*
China,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),
China,Congo,Asylum-seekers,7
China,Congo,Refugees (incl. refugee-like situations),
China,Egypt,Asylum-seekers,*
China,Egypt,Refugees (incl. refugee-like situations),
China,Eritrea,Asylum-seekers,*
China,Eritrea,Refugees (incl. refugee-like situations),*
China,Ghana,Asylum-seekers,13
China,Ghana,Refugees (incl. refugee-like situations),
China,Guinea,Asylum-seekers,32
China,Guinea,Refugees (incl. refugee-like situations),
China,Gambia,Asylum-seekers,9
China,Gambia,Refugees (incl. refugee-like situations),
China,Guinea-Bissau,Asylum-seekers,*
China,Guinea-Bissau,Refugees (incl. refugee-like situations),
China,Iraq,Asylum-seekers,7
China,Iraq,Refugees (incl. refugee-like situations),7
China,Kenya,Asylum-seekers,*
China,Kenya,Refugees (incl. refugee-like situations),
China,Liberia,Asylum-seekers,37
China,Liberia,Refugees (incl. refugee-like situations),
China,Mali,Asylum-seekers,9
China,Mali,Refugees (incl. refugee-like situations),
China,Mozambique,Asylum-seekers,*
China,Mozambique,Refugees (incl. refugee-like situations),
China,Niger,Asylum-seekers,8
China,Niger,Refugees (incl. refugee-like situations),
China,Nigeria,Asylum-seekers,119
China,Nigeria,Refugees (incl. refugee-like situations),
China,Pakistan,Asylum-seekers,24
China,Pakistan,Refugees (incl. refugee-like situations),7
China,Philippines,Asylum-seekers,*
China,Philippines,Refugees (incl. refugee-like situations),
China,Palestinian,Asylum-seekers,*
China,Palestinian,Refugees (incl. refugee-like situations),5
China,Russian Federation,Asylum-seekers,*
China,Russian Federation,Refugees (incl. refugee-like situations),
China,Rwanda,Asylum-seekers,10
China,Rwanda,Refugees (incl. refugee-like situations),
China,Saudi Arabia,Asylum-seekers,*
China,Saudi Arabia,Refugees (incl. refugee-like situations),
China,Sierra Leone,Asylum-seekers,26
China,Sierra Leone,Refugees (incl. refugee-like situations),
China,Somalia,Asylum-seekers,76
China,Somalia,Refugees (incl. refugee-like situations),120
China,Swaziland,Asylum-seekers,*
China,Swaziland,Refugees (incl. refugee-like situations),
China,Syrian Arab Rep.,Asylum-seekers,*
China,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
China,Togo,Asylum-seekers,*
China,Togo,Refugees (incl. refugee-like situations),
China,United Rep. of Tanzania,Asylum-seekers,*
China,United Rep. of Tanzania,Refugees (incl. refugee-like situations),
China,Uganda,Asylum-seekers,18
China,Uganda,Refugees (incl. refugee-like situations),
China,Viet Nam,Asylum-seekers,
China,Viet Nam,Refugees (incl. refugee-like situations),300896
China,Yemen,Asylum-seekers,*
China,Yemen,Refugees (incl. refugee-like situations),
China,Zimbabwe,Asylum-seekers,7
China,Zimbabwe,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Afghanistan,Asylum-seekers,*
Côte d'Ivoire,Afghanistan,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Angola,Asylum-seekers,
Côte d'Ivoire,Angola,Refugees (incl. refugee-like situations),5
Côte d'Ivoire,Burundi,Asylum-seekers,
Côte d'Ivoire,Burundi,Asylum-seekers,
Côte d'Ivoire,Burundi,Refugees (incl. refugee-like situations),34
Côte d'Ivoire,Burundi,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Benin,Asylum-seekers,*
Côte d'Ivoire,Benin,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Burkina Faso,Asylum-seekers,
Côte d'Ivoire,Burkina Faso,Asylum-seekers,*
Côte d'Ivoire,Burkina Faso,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Burkina Faso,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Central African Rep.,Asylum-seekers,104
Côte d'Ivoire,Central African Rep.,Refugees (incl. refugee-like situations),240
Côte d'Ivoire,Côte d'Ivoire,Asylum-seekers,
Côte d'Ivoire,Côte d'Ivoire,Asylum-seekers,
Côte d'Ivoire,Côte d'Ivoire,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Côte d'Ivoire,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Cameroon,Asylum-seekers,11
Côte d'Ivoire,Cameroon,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Dem. Rep. of the Congo,Asylum-seekers,
Côte d'Ivoire,Dem. Rep. of the Congo,Asylum-seekers,63
Côte d'Ivoire,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),168
Côte d'Ivoire,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Congo,Asylum-seekers,18
Côte d'Ivoire,Congo,Asylum-seekers,
Côte d'Ivoire,Congo,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Congo,Refugees (incl. refugee-like situations),166
Côte d'Ivoire,Eritrea,Asylum-seekers,
Côte d'Ivoire,Eritrea,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Ethiopia,Asylum-seekers,*
Côte d'Ivoire,Ethiopia,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,France,Asylum-seekers,*
Côte d'Ivoire,France,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Gabon,Asylum-seekers,*
Côte d'Ivoire,Gabon,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Ghana,Asylum-seekers,
Côte d'Ivoire,Ghana,Asylum-seekers,9
Côte d'Ivoire,Ghana,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Ghana,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Guinea,Asylum-seekers,12
Côte d'Ivoire,Guinea,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Iran (Islamic Rep. of),Asylum-seekers,
Côte d'Ivoire,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),6
Côte d'Ivoire,Cambodia,Asylum-seekers,
Côte d'Ivoire,Cambodia,Refugees (incl. refugee-like situations),28
Côte d'Ivoire,Lebanon,Asylum-seekers,
Côte d'Ivoire,Lebanon,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Liberia,Asylum-seekers,258
Côte d'Ivoire,Liberia,Asylum-seekers,
Côte d'Ivoire,Liberia,Refugees (incl. refugee-like situations),1086
Côte d'Ivoire,Liberia,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Sri Lanka,Asylum-seekers,*
Côte d'Ivoire,Sri Lanka,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Mali,Asylum-seekers,11
Côte d'Ivoire,Mali,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Mauritania,Asylum-seekers,*
Côte d'Ivoire,Mauritania,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Niger,Asylum-seekers,*
Côte d'Ivoire,Niger,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Nigeria,Asylum-seekers,
Côte d'Ivoire,Nigeria,Asylum-seekers,86
Côte d'Ivoire,Nigeria,Refugees (incl. refugee-like situations),19
Côte d'Ivoire,Nigeria,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Pakistan,Asylum-seekers,
Côte d'Ivoire,Pakistan,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Palestinian,Asylum-seekers,*
Côte d'Ivoire,Palestinian,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Rwanda,Asylum-seekers,15
Côte d'Ivoire,Rwanda,Refugees (incl. refugee-like situations),82
Côte d'Ivoire,Sudan,Asylum-seekers,*
Côte d'Ivoire,Sudan,Refugees (incl. refugee-like situations),8
Côte d'Ivoire,Senegal,Asylum-seekers,*
Côte d'Ivoire,Senegal,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Sierra Leone,Asylum-seekers,9
Côte d'Ivoire,Sierra Leone,Refugees (incl. refugee-like situations),
Côte d'Ivoire,Syrian Arab Rep.,Asylum-seekers,16
Côte d'Ivoire,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Chad,Asylum-seekers,7
Côte d'Ivoire,Chad,Refugees (incl. refugee-like situations),17
Côte d'Ivoire,Togo,Asylum-seekers,26
Côte d'Ivoire,Togo,Refugees (incl. refugee-like situations),30
Côte d'Ivoire,Uganda,Asylum-seekers,*
Côte d'Ivoire,Uganda,Refugees (incl. refugee-like situations),*
Côte d'Ivoire,Viet Nam,Asylum-seekers,*
Côte d'Ivoire,Viet Nam,Refugees (incl. refugee-like situations),9
Cameroon,Angola,Asylum-seekers,*
Cameroon,Angola,Refugees (incl. refugee-like situations),12
Cameroon,Burundi,Asylum-seekers,*
Cameroon,Burundi,Refugees (incl. refugee-like situations),67
Cameroon,Benin,Asylum-seekers,*
Cameroon,Benin,Refugees (incl. refugee-like situations),
Cameroon,Burkina Faso,Asylum-seekers,8
Cameroon,Burkina Faso,Refugees (incl. refugee-like situations),*
Cameroon,Central African Rep.,Asylum-seekers,9404
Cameroon,Central African Rep.,Refugees (incl. refugee-like situations),220702
Cameroon,Côte d'Ivoire,Asylum-seekers,270
Cameroon,Côte d'Ivoire,Refugees (incl. refugee-like situations),112
Cameroon,Dem. Rep. of the Congo,Asylum-seekers,412
Cameroon,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),472
Cameroon,Congo,Asylum-seekers,14
Cameroon,Congo,Refugees (incl. refugee-like situations),62
Cameroon,Algeria,Asylum-seekers,
Cameroon,Algeria,Refugees (incl. refugee-like situations),*
Cameroon,Eritrea,Asylum-seekers,*
Cameroon,Eritrea,Refugees (incl. refugee-like situations),*
Cameroon,Ethiopia,Asylum-seekers,*
Cameroon,Ethiopia,Refugees (incl. refugee-like situations),
Cameroon,France,Asylum-seekers,*
Cameroon,France,Refugees (incl. refugee-like situations),
Cameroon,Gabon,Asylum-seekers,*
Cameroon,Gabon,Refugees (incl. refugee-like situations),*
Cameroon,Ghana,Asylum-seekers,
Cameroon,Ghana,Refugees (incl. refugee-like situations),*
Cameroon,Guinea,Asylum-seekers,430
Cameroon,Guinea,Refugees (incl. refugee-like situations),13
Cameroon,Gambia,Asylum-seekers,12
Cameroon,Gambia,Refugees (incl. refugee-like situations),
Cameroon,Guinea-Bissau,Asylum-seekers,55
Cameroon,Guinea-Bissau,Refugees (incl. refugee-like situations),
Cameroon,Equatorial Guinea,Asylum-seekers,7
Cameroon,Equatorial Guinea,Refugees (incl. refugee-like situations),10
Cameroon,Iran (Islamic Rep. of),Asylum-seekers,*
Cameroon,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),*
Cameroon,Kenya,Asylum-seekers,*
Cameroon,Kenya,Refugees (incl. refugee-like situations),
Cameroon,Cambodia,Asylum-seekers,
Cameroon,Cambodia,Refugees (incl. refugee-like situations),5
Cameroon,Lebanon,Asylum-seekers,*
Cameroon,Lebanon,Refugees (incl. refugee-like situations),
Cameroon,Liberia,Asylum-seekers,10
Cameroon,Liberia,Refugees (incl. refugee-like situations),10
Cameroon,Morocco,Asylum-seekers,
Cameroon,Morocco,Refugees (incl. refugee-like situations),*
Cameroon,Mali,Asylum-seekers,52
Cameroon,Mali,Refugees (incl. refugee-like situations),*
Cameroon,Mauritania,Asylum-seekers,7
Cameroon,Mauritania,Refugees (incl. refugee-like situations),*
Cameroon,Mauritius,Asylum-seekers,*
Cameroon,Mauritius,Refugees (incl. refugee-like situations),
Cameroon,Niger,Asylum-seekers,*
Cameroon,Niger,Refugees (incl. refugee-like situations),
Cameroon,Nigeria,Asylum-seekers,41
Cameroon,Nigeria,Refugees (incl. refugee-like situations),39968
Cameroon,Rwanda,Asylum-seekers,220
Cameroon,Rwanda,Refugees (incl. refugee-like situations),825
Cameroon,Sudan,Asylum-seekers,126
Cameroon,Sudan,Refugees (incl. refugee-like situations),86
Cameroon,Senegal,Asylum-seekers,105
Cameroon,Senegal,Refugees (incl. refugee-like situations),
Cameroon,Sierra Leone,Asylum-seekers,17
Cameroon,Sierra Leone,Refugees (incl. refugee-like situations),
Cameroon,South Sudan,Asylum-seekers,6
Cameroon,South Sudan,Refugees (incl. refugee-like situations),9
Cameroon,Swaziland,Asylum-seekers,
Cameroon,Swaziland,Refugees (incl. refugee-like situations),*
Cameroon,Syrian Arab Rep.,Asylum-seekers,11
Cameroon,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
Cameroon,Chad,Asylum-seekers,529
Cameroon,Chad,Refugees (incl. refugee-like situations),1738
Cameroon,Togo,Asylum-seekers,*
Cameroon,Togo,Refugees (incl. refugee-like situations),11
Cameroon,Uganda,Asylum-seekers,*
Cameroon,Uganda,Refugees (incl. refugee-like situations),*
Cameroon,South Africa,Asylum-seekers,*
Cameroon,South Africa,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Angola,Asylum-seekers,5
Dem. Rep. of the Congo,Angola,Asylum-seekers,
Dem. Rep. of the Congo,Angola,Refugees (incl. refugee-like situations),558
Dem. Rep. of the Congo,Angola,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Burundi,Asylum-seekers,542
Dem. Rep. of the Congo,Burundi,Refugees (incl. refugee-like situations),9259
Dem. Rep. of the Congo,Benin,Asylum-seekers,*
Dem. Rep. of the Congo,Benin,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Central African Rep.,Asylum-seekers,66
Dem. Rep. of the Congo,Central African Rep.,Refugees (incl. refugee-like situations),68165
Dem. Rep. of the Congo,Côte d'Ivoire,Asylum-seekers,12
Dem. Rep. of the Congo,Côte d'Ivoire,Refugees (incl. refugee-like situations),9
Dem. Rep. of the Congo,Cameroon,Asylum-seekers,38
Dem. Rep. of the Congo,Cameroon,Refugees (incl. refugee-like situations),7
Dem. Rep. of the Congo,Dem. Rep. of the Congo,Asylum-seekers,
Dem. Rep. of the Congo,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Congo,Asylum-seekers,14
Dem. Rep. of the Congo,Congo,Refugees (incl. refugee-like situations),671
Dem. Rep. of the Congo,Eritrea,Asylum-seekers,*
Dem. Rep. of the Congo,Eritrea,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Ethiopia,Asylum-seekers,
Dem. Rep. of the Congo,Ethiopia,Refugees (incl. refugee-like situations),*
Dem. Rep. of the Congo,Guinea,Asylum-seekers,14
Dem. Rep. of the Congo,Guinea,Refugees (incl. refugee-like situations),8
Dem. Rep. of the Congo,Liberia,Asylum-seekers,7
Dem. Rep. of the Congo,Liberia,Refugees (incl. refugee-like situations),8
Dem. Rep. of the Congo,Mali,Asylum-seekers,10
Dem. Rep. of the Congo,Mali,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Nigeria,Asylum-seekers,10
Dem. Rep. of the Congo,Nigeria,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Rwanda,Asylum-seekers,320
Dem. Rep. of the Congo,Rwanda,Refugees (incl. refugee-like situations),38028
Dem. Rep. of the Congo,Senegal,Asylum-seekers,*
Dem. Rep. of the Congo,Senegal,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Sierra Leone,Asylum-seekers,
Dem. Rep. of the Congo,Sierra Leone,Refugees (incl. refugee-like situations),*
Dem. Rep. of the Congo,Somalia,Asylum-seekers,88
Dem. Rep. of the Congo,Somalia,Refugees (incl. refugee-like situations),31
Dem. Rep. of the Congo,South Sudan,Asylum-seekers,*
Dem. Rep. of the Congo,South Sudan,Refugees (incl. refugee-like situations),1790
Dem. Rep. of the Congo,Syrian Arab Rep.,Asylum-seekers,*
Dem. Rep. of the Congo,Syrian Arab Rep.,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Chad,Asylum-seekers,34
Dem. Rep. of the Congo,Chad,Refugees (incl. refugee-like situations),*
Dem. Rep. of the Congo,Togo,Asylum-seekers,*
Dem. Rep. of the Congo,Togo,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,United Rep. of Tanzania,Asylum-seekers,7
Dem. Rep. of the Congo,United Rep. of Tanzania,Refugees (incl. refugee-like situations),
Dem. Rep. of the Congo,Uganda,Asylum-seekers,*
Dem. Rep. of the Congo,Uganda,Refugees (incl. refugee-like situations),1213
Congo,Angola,Asylum-seekers,
Congo,Angola,Asylum-seekers,89
Congo,Angola,Refugees (incl. refugee-like situations),467
Congo,Angola,Refugees (incl. refugee-like situations),
Congo,Burundi,Asylum-seekers,17
Congo,Burundi,Asylum-seekers,
Congo,Burundi,Refugees (incl. refugee-like situations),
Congo,Burundi,Refugees (incl. refugee-like situations),96
Congo,Burkina Faso,Asylum-seekers,*
Congo,Burkina Faso,Refugees (incl. refugee-like situations),
Congo,Central African Rep.,Asylum-seekers,
Congo,Central African Rep.,Asylum-seekers,95
Congo,Central African Rep.,Refugees (incl. refugee-like situations),21695
Congo,Central African Rep.,Refugees (incl. refugee-like situations),
Congo,Côte d'Ivoire,Asylum-seekers,66
Congo,Côte d'Ivoire,Asylum-seekers,
Congo,Côte d'Ivoire,Refugees (incl. refugee-like situations),
Congo,Côte d'Ivoire,Refugees (incl. refugee-like situations),6
Congo,Cameroon,Asylum-seekers,
Congo,Cameroon,Asylum-seekers,*
Congo,Cameroon,Refugees (incl. refugee-like situations),*
Congo,Cameroon,Refugees (incl. refugee-like situations),
Congo,Dem. Rep. of the Congo,Asylum-seekers,2380
Congo,Dem. Rep. of the Congo,Asylum-seekers,
Congo,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),
Congo,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),23376
Congo,Congo,Asylum-seekers,
Congo,Congo,Refugees (incl. refugee-like situations),
Congo,Ethiopia,Asylum-seekers,*
Congo,Ethiopia,Refugees (incl. refugee-like situations),
Congo,Guinea,Asylum-seekers,9
Congo,Guinea,Refugees (incl. refugee-like situations),
Congo,Iran (Islamic Rep. of),Asylum-seekers,
Congo,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),*
Congo,Liberia,Asylum-seekers,5
Congo,Liberia,Refugees (incl. refugee-like situations),*
Congo,Mali,Asylum-seekers,*
Congo,Mali,Refugees (incl. refugee-like situations),*
Congo,Mauritania,Asylum-seekers,55
Congo,Mauritania,Asylum-seekers,
Congo,Mauritania,Refugees (incl. refugee-like situations),
Congo,Mauritania,Refugees (incl. refugee-like situations),7
Congo,Nigeria,Asylum-seekers,
Congo,Nigeria,Asylum-seekers,
Congo,Nigeria,Refugees (incl. refugee-like situations),*
Congo,Nigeria,Refugees (incl. refugee-like situations),
Congo,Rwanda,Asylum-seekers,315
Congo,Rwanda,Asylum-seekers,
Congo,Rwanda,Refugees (incl. refugee-like situations),
Congo,Rwanda,Refugees (incl. refugee-like situations),9104
Congo,Sudan,Asylum-seekers,18
Congo,Sudan,Refugees (incl. refugee-like situations),31
Congo,Senegal,Asylum-seekers,*
Congo,Senegal,Refugees (incl. refugee-like situations),
Congo,Sierra Leone,Asylum-seekers,6
Congo,Sierra Leone,Refugees (incl. refugee-like situations),*
Congo,Chad,Asylum-seekers,
Congo,Chad,Asylum-seekers,137
Congo,Chad,Refugees (incl. refugee-like situations),45
Congo,Chad,Refugees (incl. refugee-like situations),
Congo,Togo,Asylum-seekers,*
Congo,Togo,Refugees (incl. refugee-like situations),*
Congo,Uganda,Asylum-seekers,
Congo,Uganda,Refugees (incl. refugee-like situations),*
Colombia,Afghanistan,Asylum-seekers,*
Colombia,Afghanistan,Refugees (incl. refugee-like situations),*
Colombia,Angola,Asylum-seekers,*
Colombia,Angola,Refugees (incl. refugee-like situations),*
Colombia,Benin,Asylum-seekers,
Colombia,Benin,Refugees (incl. refugee-like situations),*
Colombia,Bangladesh,Asylum-seekers,*
Colombia,Bangladesh,Refugees (incl. refugee-like situations),
Colombia,Bolivia (Plurinational State of),Asylum-seekers,*
Colombia,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),*
Colombia,Brazil,Asylum-seekers,*
Colombia,Brazil,Refugees (incl. refugee-like situations),
Colombia,Bhutan,Asylum-seekers,*
Colombia,Bhutan,Refugees (incl. refugee-like situations),
Colombia,China,Asylum-seekers,
Colombia,China,Refugees (incl. refugee-like situations),*
Colombia,Congo,Asylum-seekers,
Colombia,Congo,Refugees (incl. refugee-like situations),*
Colombia,Colombia,Asylum-seekers,
Colombia,Colombia,Refugees (incl. refugee-like situations),
Colombia,Cuba,Asylum-seekers,84
Colombia,Cuba,Refugees (incl. refugee-like situations),62
Colombia,Ecuador,Asylum-seekers,*
Colombia,Ecuador,Refugees (incl. refugee-like situations),9
Colombia,Eritrea,Asylum-seekers,7
Colombia,Eritrea,Refugees (incl. refugee-like situations),*
Colombia,Ethiopia,Asylum-seekers,*
Colombia,Ethiopia,Refugees (incl. refugee-like situations),16
Colombia,Ghana,Asylum-seekers,*
Colombia,Ghana,Refugees (incl. refugee-like situations),*
Colombia,Honduras,Asylum-seekers,*
Colombia,Honduras,Refugees (incl. refugee-like situations),
Colombia,Haiti,Asylum-seekers,*
Colombia,Haiti,Refugees (incl. refugee-like situations),*
Colombia,Hungary,Asylum-seekers,
Colombia,Hungary,Refugees (incl. refugee-like situations),7
Colombia,India,Asylum-seekers,*
Colombia,India,Refugees (incl. refugee-like situations),
Colombia,Iran (Islamic Rep. of),Asylum-seekers,
Colombia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),*
Colombia,Iraq,Asylum-seekers,
Colombia,Iraq,Refugees (incl. refugee-like situations),*
Colombia,Liberia,Asylum-seekers,
Colombia,Liberia,Refugees (incl. refugee-like situations),*
Colombia,Sri Lanka,Asylum-seekers,*
Colombia,Sri Lanka,Refugees (incl. refugee-like situations),*
Colombia,Mali,Asylum-seekers,*
Colombia,Mali,Refugees (incl. refugee-like situations),
Colombia,Mauritania,Asylum-seekers,
Colombia,Mauritania,Refugees (incl. refugee-like situations),*
Colombia,Nigeria,Asylum-seekers,*
Colombia,Nigeria,Refugees (incl. refugee-like situations),
Colombia,Nicaragua,Asylum-seekers,*
Colombia,Nicaragua,Refugees (incl. refugee-like situations),14
Colombia,Nepal,Asylum-seekers,10
Colombia,Nepal,Refugees (incl. refugee-like situations),*
Colombia,Pakistan,Asylum-seekers,10
Colombia,Pakistan,Refugees (incl. refugee-like situations),*
Colombia,Peru,Asylum-seekers,
Colombia,Peru,Refugees (incl. refugee-like situations),6
Colombia,Paraguay,Asylum-seekers,*
Colombia,Paraguay,Refugees (incl. refugee-like situations),
Colombia,Palestinian,Asylum-seekers,
Colombia,Palestinian,Refugees (incl. refugee-like situations),*
Colombia,Romania,Asylum-seekers,
Colombia,Romania,Refugees (incl. refugee-like situations),7
Colombia,Russian Federation,Asylum-seekers,*
Colombia,Russian Federation,Refugees (incl. refugee-like situations),
Colombia,Rwanda,Asylum-seekers,*
Colombia,Rwanda,Refugees (incl. refugee-like situations),
Colombia,Sudan,Asylum-seekers,*
Colombia,Sudan,Refugees (incl. refugee-like situations),*
Colombia,Sierra Leone,Asylum-seekers,*
Colombia,Sierra Leone,Refugees (incl. refugee-like situations),*
Colombia,El Salvador,Asylum-seekers,
Colombia,El Salvador,Refugees (incl. refugee-like situations),7
Colombia,Somalia,Asylum-seekers,*
Colombia,Somalia,Refugees (incl. refugee-like situations),11
Colombia,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,
Colombia,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),7
Colombia,Syrian Arab Rep.,Asylum-seekers,*
Colombia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
Colombia,Tibetan,Asylum-seekers,*
Colombia,Tibetan,Refugees (incl. refugee-like situations),
Colombia,Turkey,Asylum-seekers,
Colombia,Turkey,Refugees (incl. refugee-like situations),*
Colombia,United States of America,Asylum-seekers,*
Colombia,United States of America,Refugees (incl. refugee-like situations),
Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,41
Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),27
Colombia,Stateless,Asylum-seekers,*
Colombia,Stateless,Refugees (incl. refugee-like situations),*
Cabo Verde,Cabo Verde,Asylum-seekers,
Cabo Verde,Cabo Verde,Refugees (incl. refugee-like situations),
Costa Rica,Afghanistan,Asylum-seekers,
Costa Rica,Afghanistan,Refugees (incl. refugee-like situations),*
Costa Rica,Angola,Asylum-seekers,
Costa Rica,Angola,Refugees (incl. refugee-like situations),*
Costa Rica,Argentina,Asylum-seekers,*
Costa Rica,Argentina,Refugees (incl. refugee-like situations),*
Costa Rica,Armenia,Asylum-seekers,*
